30-03-2022 23:34:12:976 udp_servidor [INFO] : inici servidor
30-03-2022 23:34:12:980 udp_servidor [INFO] : Inici RemoteMapUDPservidor 
30-03-2022 23:34:12:980 udp_servidor [INFO] : server_port: 5836
30-03-2022 23:34:12:980 udp_servidor [INFO] : map: {k1=One, k3=Eleven, k4=Twenty-one}
30-03-2022 23:34:22:840 udp_servidor [TRACE] : Socket received
30-03-2022 23:34:22:840 udp_servidor [TRACE] : Socket sent
30-03-2022 23:34:22:905 udp_servidor [TRACE] : Socket received
30-03-2022 23:34:22:905 udp_servidor [TRACE] : Socket sent
30-03-2022 23:34:22:906 udp_servidor [TRACE] : Socket received
30-03-2022 23:34:22:906 udp_servidor [TRACE] : Socket sent
30-03-2022 23:35:22:908 udp_servidor [TRACE] : Socket Closed
